label=Displacement
num_items=32

0:	0.000000e+00 0.000000e+00 
1:	-4.945522e-02 0.000000e+00 
2:	-1.464058e-01 0.000000e+00 
3:	-1.952829e-01 0.000000e+00 
4:	0.000000e+00 1.155350e-01 
5:	-4.879025e-02 1.136576e-01 
6:	-1.465946e-01 1.137834e-01 
7:	-1.952413e-01 1.136935e-01 
8:	0.000000e+00 3.412066e-01 
9:	-4.848779e-02 3.418579e-01 
10:	-1.462498e-01 3.412464e-01 
11:	-1.949680e-01 3.411177e-01 
12:	0.000000e+00 4.553613e-01 
13:	-4.874627e-02 4.553290e-01 
14:	-1.459628e-01 4.551030e-01 
15:	-1.947770e-01 4.548511e-01 
16:	3.600947e-02 0.000000e+00 
17:	-3.796379e-02 0.000000e+00 
18:	1.812860e-02 0.000000e+00 
19:	0.000000e+00 0.000000e+00 
20:	-1.230389e-01 -7.324612e-02 
21:	1.178659e-01 8.436508e-02 
22:	-6.400891e-02 -4.556910e-02 
23:	0.000000e+00 0.000000e+00 
24:	7.695125e-02 1.289173e-01 
25:	-8.141235e-02 -1.167499e-01 
26:	4.686860e-02 6.505078e-02 
27:	0.000000e+00 0.000000e+00 
28:	0.000000e+00 -2.960706e-02 
29:	0.000000e+00 4.143127e-02 
30:	0.000000e+00 -1.664162e-02 
31:	0.000000e+00 0.000000e+00 
