xi	eta	x	y	stress_rr	stress_sita
 5.0000000000e-001	 6.5625000000e-001	 1.5112807329e+000	 2.5915305413e+000	 1.0012644382e+001	-1.0490614064e+000
 5.0000000000e-001	 6.6250000000e-001	 1.4848265841e+000	 2.6067777073e+000	 9.9636071257e+000	-1.0268470791e+000
 5.0000000000e-001	 6.6875000000e-001	 1.4582551343e+000	 2.6217345334e+000	 9.9199625287e+000	-1.0014587206e+000
 5.0000000000e-001	 6.7500000000e-001	 1.4315710593e+000	 2.6363998752e+000	 9.8813722529e+000	-9.7303475886e-001
 5.0000000000e-001	 6.8125000000e-001	 1.4047790439e+000	 2.6507726869e+000	 9.8475037534e+000	-9.4170855918e-001
 5.0000000000e-001	 6.8750000000e-001	 1.3778837792e+000	 2.6648520205e+000	 9.8180314222e+000	-9.0760856264e-001
 4.3750000000e-001	 6.8750000000e-001	 1.2630601309e+000	 2.4427810188e+000	 9.7075695109e+000	-1.0920657075e+000
 4.3750000000e-001	 6.9375000000e-001	 1.2383157968e+000	 2.4554172736e+000	 9.5763208965e+000	-1.0941127966e+000
 4.3750000000e-001	 7.0000000000e-001	 1.2134854263e+000	 2.4677830375e+000	 9.4690817564e+000	-1.0949184479e+000
 4.3750000000e-001	 7.0625000000e-001	 1.1885733238e+000	 2.4798777095e+000	 9.3831392549e+000	-1.0806157111e+000
 4.3750000000e-001	 7.1250000000e-001	 1.1635837903e+000	 2.4917007772e+000	 9.3186628151e+000	-1.0512448244e+000
 4.3750000000e-001	 7.1875000000e-001	 1.1385211215e+000	 2.5032518163e+000	 9.2539523753e+000	-1.0168005753e+000
 4.3750000000e-001	 7.2500000000e-001	 1.1133896056e+000	 2.5145304902e+000	 9.1519404908e+000	-9.9425665635e-001
 4.3750000000e-001	 7.3125000000e-001	 1.0881935211e+000	 2.5255365491e+000	 9.0649314577e+000	-9.6003841356e-001
 4.3750000000e-001	 7.3750000000e-001	 1.0629371346e+000	 2.5362698295e+000	 8.9921293614e+000	-9.1474392779e-001
 4.3750000000e-001	 7.4375000000e-001	 1.0376246991e+000	 2.5467302535e+000	 8.9327685225e+000	-8.5894021340e-001
 4.3750000000e-001	 7.5000000000e-001	 1.0122604513e+000	 2.5569178279e+000	 8.8861151129e+000	-7.9316357853e-001
