label=Displacement
num_items=648

0:	0.000000e+000 0.000000e+000 
152:	-1.866208e-002 4.461298e-002 
153:	-2.130756e-002 4.415249e-002 
154:	-2.391321e-002 4.376052e-002 
155:	-2.648092e-002 4.341643e-002 
156:	-2.901252e-002 4.310445e-002 
157:	-3.151248e-002 4.280920e-002 
158:	-3.398516e-002 4.251739e-002 
159:	-3.643548e-002 4.221583e-002 
160:	-3.886905e-002 4.189124e-002 
161:	-4.008153e-002 4.171032e-002 
162:	0.000000e+000 5.447572e-002 
163:	-1.098438e-003 5.447480e-002 
164:	-3.319720e-003 5.419329e-002 
165:	-5.633644e-003 5.368084e-002 
166:	-8.047689e-003 5.304047e-002 
167:	-1.057148e-002 5.235549e-002 
168:	-1.315399e-002 5.168412e-002 
169:	-1.576507e-002 5.106953e-002 
170:	-1.838481e-002 5.052190e-002 
171:	-2.098831e-002 5.004102e-002 
172:	-2.356839e-002 4.961586e-002 
173:	-2.611962e-002 4.923533e-002 
174:	-2.864228e-002 4.888594e-002 
175:	-3.113795e-002 4.855560e-002 
176:	-3.360986e-002 4.823228e-002 
177:	-3.606208e-002 4.790475e-002 
178:	-3.849996e-002 4.756226e-002 
179:	-3.971569e-002 4.737870e-002 
180:	0.000000e+000 5.982221e-002 
181:	-1.114445e-003 5.982166e-002 
182:	-3.368119e-003 5.960384e-002 
183:	-5.677360e-003 5.920447e-002 
184:	-8.065464e-003 5.867961e-002 
185:	-1.052004e-002 5.809142e-002 
186:	-1.303346e-002 5.749119e-002 
187:	-1.558246e-002 5.691378e-002 
188:	-1.814340e-002 5.637718e-002 
189:	-2.070289e-002 5.588673e-002 
190:	-2.324914e-002 5.544131e-002 
191:	-2.577704e-002 5.503367e-002 
192:	-2.828399e-002 5.465539e-002 
193:	-3.077030e-002 5.429662e-002 
194:	-3.323766e-002 5.394772e-002 
195:	-3.568918e-002 5.359938e-002 
196:	-3.812929e-002 5.324353e-002 
197:	-3.934699e-002 5.305898e-002 
198:	0.000000e+000 6.525022e-002 
199:	-1.125805e-003 6.525034e-002 
200:	-3.390853e-003 6.507461e-002 
201:	-5.695633e-003 6.474583e-002 
202:	-8.051740e-003 6.430291e-002 
203:	-1.046459e-002 6.378963e-002 
204:	-1.292264e-002 6.324682e-002 
205:	-1.541296e-002 6.270419e-002 
206:	-1.792190e-002 6.218228e-002 
207:	-2.043609e-002 6.169143e-002 
208:	-2.294672e-002 6.123414e-002 
209:	-2.544742e-002 6.080852e-002 
210:	-2.793519e-002 6.040907e-002 
211:	-3.040889e-002 6.002893e-002 
212:	-3.286921e-002 5.966042e-002 
213:	-3.531809e-002 5.929626e-002 
214:	-3.775874e-002 5.893049e-002 
215:	-3.897732e-002 5.874539e-002 
216:	0.000000e+000 7.073859e-002 
217:	-1.127718e-003 7.073833e-002 
218:	-3.393358e-003 7.058984e-002 
219:	-5.685973e-003 7.030830e-002 
220:	-8.017553e-003 6.992155e-002 
221:	-1.038996e-002 6.946255e-002 
222:	-1.280073e-002 6.896303e-002 
223:	-1.524156e-002 6.845063e-002 
224:	-1.770257e-002 6.794473e-002 
225:	-2.017469e-002 6.745766e-002 
226:	-2.265006e-002 6.699544e-002 
227:	-2.512326e-002 6.655888e-002 
228:	-2.759066e-002 6.614550e-002 
229:	-3.005055e-002 6.575051e-002 
230:	-3.250261e-002 6.536816e-002 
231:	-3.494773e-002 6.499268e-002 
232:	-3.738775e-002 6.461959e-002 
233:	-3.860649e-002 6.443355e-002 
234:	0.000000e+000 7.626719e-002 
235:	-1.122930e-003 7.626717e-002 
236:	-3.375928e-003 7.613616e-002 
237:	-5.649227e-003 7.588589e-002 
238:	-7.951581e-003 7.553726e-002 
239:	-1.028747e-002 7.511626e-002 
240:	-1.265577e-002 7.464985e-002 
241:	-1.505233e-002 7.416163e-002 
242:	-1.747093e-002 7.367069e-002 
243:	-1.990488e-002 7.319013e-002 
244:	-2.234814e-002 7.272757e-002 
