label=Displacement
num_items=200

152:	-1.188916e-04 7.833150e-03 
153:	3.916838e-04 5.661241e-03 
154:	5.822273e-04 3.865945e-03 
155:	5.767411e-04 2.414303e-03 
156:	4.512003e-04 1.274624e-03 
157:	2.502574e-04 4.648578e-04 
158:	8.071957e-05 1.358936e-04 
159:	0.000000e+00 0.000000e+00 
160:	-1.086614e-03 1.142013e-02 
161:	-6.091848e-04 1.062301e-02 
162:	1.707529e-05 9.039733e-03 
163:	4.393168e-04 6.818532e-03 
164:	5.709801e-04 4.828239e-03 
165:	5.384163e-04 3.119718e-03 
166:	4.144549e-04 1.768102e-03 
167:	2.428759e-04 7.282745e-04 
168:	1.048785e-04 2.018356e-04 
169:	0.000000e+00 0.000000e+00 
170:	-6.155468e-04 1.186062e-02 
171:	-3.625357e-04 1.125563e-02 
172:	-2.185977e-05 9.907769e-03 
173:	2.076877e-04 7.790774e-03 
174:	2.863328e-04 5.741514e-03 
175:	2.974056e-04 3.914770e-03 
176:	2.675964e-04 2.342016e-03 
177:	1.583806e-04 1.039303e-03 
178:	1.836417e-05 3.480980e-04 
179:	0.000000e+00 0.000000e+00 
180:	-2.142606e-04 1.204020e-02 
181:	-1.343410e-04 1.152113e-02 
182:	-2.687012e-05 1.033353e-02 
183:	4.085497e-05 8.392211e-03 
184:	6.261717e-05 6.449474e-03 
185:	6.783034e-05 4.595424e-03 
186:	7.306462e-05 2.854031e-03 
187:	1.040679e-04 1.255766e-03 
188:	1.114663e-04 3.586291e-04 
189:	0.000000e+00 0.000000e+00 
190:	0.000000e+00 1.208741e-02 
191:	0.000000e+00 1.160219e-02 
192:	0.000000e+00 1.048920e-02 
193:	0.000000e+00 8.675924e-03 
194:	0.000000e+00 6.854002e-03 
195:	0.000000e+00 5.095491e-03 
196:	0.000000e+00 3.405417e-03 
197:	0.000000e+00 1.754685e-03 
198:	0.000000e+00 6.040643e-04 
199:	0.000000e+00 0.000000e+00 
