label=Displacement
num_items=231

152:	-4.794753e-03 0.000000e+00 
153:	-3.535035e-03 4.934409e-04 
154:	-1.706920e-03 -6.612262e-05 
155:	-1.061464e-03 -3.553828e-04 
156:	-4.794870e-03 0.000000e+00 
157:	-3.529415e-03 6.540972e-04 
158:	-1.661079e-03 3.122206e-04 
159:	-9.793471e-04 -2.011417e-04 
160:	-4.793261e-03 0.000000e+00 
161:	-3.452949e-03 1.318904e-03 
162:	-1.381485e-03 2.139688e-03 
163:	-7.544320e-04 1.848055e-03 
164:	-4.793909e-03 0.000000e+00 
165:	-3.423445e-03 2.132652e-03 
166:	-1.281102e-03 4.389790e-03 
167:	-7.086675e-04 4.343053e-03 
168:	-4.799201e-03 0.000000e+00 
169:	-3.566001e-03 2.895963e-03 
170:	-1.730041e-03 6.407870e-03 
171:	-1.180051e-03 6.567768e-03 
172:	-4.796472e-03 0.000000e+00 
173:	-4.006092e-03 2.902584e-03 
174:	-2.677351e-03 7.441194e-03 
175:	-2.126047e-03 8.589534e-03 
176:	-4.793182e-03 0.000000e+00 
177:	-4.772804e-03 2.922026e-03 
178:	-4.617072e-03 8.512583e-03 
179:	-4.342159e-03 1.097618e-02 
180:	-5.457062e-04 0.000000e+00 
181:	2.823132e-04 0.000000e+00 
182:	0.000000e+00 0.000000e+00 
183:	-9.408019e-04 -3.649735e-04 
184:	-7.318326e-06 9.391927e-05 
185:	0.000000e+00 0.000000e+00 
186:	-9.085098e-04 -5.246392e-04 
187:	-4.668948e-05 7.776838e-05 
188:	0.000000e+00 0.000000e+00 
189:	0.000000e+00 1.833245e-02 
190:	-1.584444e-03 1.830013e-02 
191:	-3.865290e-03 1.539255e-02 
192:	0.000000e+00 1.479710e-02 
193:	-1.370414e-03 1.498633e-02 
194:	-2.851764e-03 1.267040e-02 
195:	0.000000e+00 1.186281e-02 
196:	-1.183784e-03 1.221569e-02 
197:	-1.944081e-03 1.018327e-02 
198:	1.584311e-04 2.845307e-03 
199:	3.294042e-04 1.798937e-03 
200:	3.067730e-04 1.114773e-03 
201:	1.022649e-04 -1.233372e-04 
202:	1.248733e-04 -2.053363e-04 
203:	1.993474e-04 -2.100864e-04 
204:	0.000000e+00 0.000000e+00 
205:	0.000000e+00 0.000000e+00 
206:	0.000000e+00 0.000000e+00 
207:	2.657878e-04 3.156897e-04 
208:	7.589205e-06 -1.738743e-04 
209:	2.794638e-04 -1.483392e-04 
210:	2.647431e-04 -8.007251e-05 
211:	0.000000e+00 0.000000e+00 
212:	0.000000e+00 0.000000e+00 
213:	0.000000e+00 5.926004e-03 
214:	-6.917836e-04 6.596409e-03 
215:	-3.927642e-04 5.189170e-03 
216:	0.000000e+00 -2.390164e-04 
217:	-4.038112e-04 3.251149e-04 
218:	2.725451e-05 2.958537e-05 
219:	0.000000e+00 0.000000e+00 
220:	0.000000e+00 0.000000e+00 
221:	0.000000e+00 0.000000e+00 
222:	-4.047834e-04 -6.688066e-04 
223:	-1.986658e-04 3.585506e-05 
224:	0.000000e+00 0.000000e+00 
225:	1.517312e-04 -7.691360e-05 
226:	-6.805631e-05 1.034913e-04 
227:	0.000000e+00 0.000000e+00 
228:	0.000000e+00 0.000000e+00 
229:	0.000000e+00 0.000000e+00 
230:	0.000000e+00 0.000000e+00 
