label=Displacement
num_items=200

152:	2.274546e-04 4.112055e-03 
153:	6.965896e-04 2.779656e-03 
154:	8.703733e-04 1.803706e-03 
155:	8.524293e-04 1.082788e-03 
156:	6.903444e-04 5.594435e-04 
157:	4.079166e-04 1.992848e-04 
158:	1.474274e-04 5.235994e-05 
159:	0.000000e+00 0.000000e+00 
160:	-7.625583e-04 7.034660e-03 
161:	-2.881178e-04 6.495354e-03 
162:	3.542494e-04 5.431851e-03 
163:	8.101988e-04 4.064088e-03 
164:	9.706604e-04 2.914363e-03 
165:	9.359696e-04 1.953431e-03 
166:	7.543312e-04 1.155597e-03 
167:	4.460716e-04 5.029875e-04 
168:	1.605181e-04 1.555338e-04 
169:	0.000000e+00 0.000000e+00 
170:	-4.035409e-04 7.505157e-03 
171:	-1.740337e-04 7.130789e-03 
172:	1.904202e-04 6.299273e-03 
173:	4.890031e-04 5.026450e-03 
174:	6.090389e-04 3.820397e-03 
175:	6.007664e-04 2.709245e-03 
176:	4.930214e-04 1.699251e-03 
177:	3.005807e-04 7.888615e-04 
178:	1.150961e-04 2.495590e-04 
179:	0.000000e+00 0.000000e+00 
180:	-1.322152e-04 7.590323e-03 
181:	-5.962192e-05 7.241678e-03 
182:	6.038540e-05 6.465616e-03 
183:	1.599102e-04 5.237780e-03 
184:	2.008363e-04 4.035574e-03 
185:	1.982247e-04 2.899777e-03 
186:	1.603616e-04 1.846508e-03 
187:	9.013519e-05 8.790979e-04 
188:	2.683385e-05 2.860933e-04 
189:	0.000000e+00 0.000000e+00 
190:	0.000000e+00 7.573573e-03 
191:	0.000000e+00 7.223529e-03 
192:	0.000000e+00 6.445756e-03 
193:	0.000000e+00 5.211637e-03 
194:	0.000000e+00 4.003565e-03 
195:	0.000000e+00 2.861744e-03 
196:	0.000000e+00 1.804322e-03 
197:	0.000000e+00 8.405947e-04 
198:	0.000000e+00 2.680324e-04 
199:	0.000000e+00 0.000000e+00 
