label=Displacement
num_items=200

0:	0.000000e+00 0.000000e+00 
1:	-1.099282e-02 0.000000e+00 
2:	3.484036e-02 0.000000e+00 
3:	2.707014e-02 0.000000e+00 
4:	-1.063990e-01 0.000000e+00 
5:	-5.899079e-02 0.000000e+00 
6:	-1.418124e-01 0.000000e+00 
7:	-1.345830e-01 0.000000e+00 
8:	-1.752075e-01 0.000000e+00 
9:	-1.780654e-01 0.000000e+00 
10:	0.000000e+00 5.842055e-03 
11:	-1.470026e-01 1.666071e-02 
12:	1.278133e-01 -2.728100e-01 
13:	-6.657037e-02 1.992792e-01 
14:	-3.685858e-02 -6.316729e-02 
15:	-1.041943e-01 6.056100e-02 
16:	-1.127684e-01 4.662563e-03 
17:	-1.560414e-01 3.063211e-02 
18:	-1.654203e-01 2.067354e-02 
19:	-1.790638e-01 2.171629e-02 
20:	0.000000e+00 5.717320e-02 
21:	1.222234e-01 -1.859615e-02 
22:	-1.282181e-01 1.312383e-01 
23:	-3.519961e-02 1.205720e-02 
24:	-5.686994e-02 9.411581e-02 
25:	-1.013392e-01 5.134648e-02 
26:	-1.170999e-01 7.248179e-02 
27:	-1.532475e-01 6.224097e-02 
28:	-1.689527e-01 6.802328e-02 
29:	-1.785601e-01 6.851204e-02 
30:	0.000000e+00 7.018851e-02 
31:	-6.853279e-02 1.337257e-01 
32:	1.202867e-02 4.814598e-02 
33:	-5.414454e-02 1.424828e-01 
34:	-8.066243e-02 1.129983e-01 
35:	-9.411966e-02 1.356397e-01 
36:	-1.300201e-01 1.261859e-01 
37:	-1.518844e-01 1.346029e-01 
38:	-1.737963e-01 1.326102e-01 
39:	-1.828801e-01 1.347905e-01 
40:	0.000000e+00 1.881255e-01 
41:	1.991923e-02 1.494696e-01 
42:	-4.778409e-02 1.885453e-01 
43:	-5.915168e-02 1.711907e-01 
44:	-7.496415e-02 1.908042e-01 
45:	-1.093206e-01 1.882139e-01 
46:	-1.286429e-01 1.961748e-01 
47:	-1.605628e-01 1.955116e-01 
48:	-1.766873e-01 2.002366e-01 
49:	-1.865684e-01 2.008798e-01 
50:	0.000000e+00 2.225555e-01 
51:	-2.378649e-02 2.456300e-01 
52:	-2.042957e-02 2.308505e-01 
53:	-5.406936e-02 2.443913e-01 
54:	-8.628993e-02 2.472304e-01 
55:	-1.066306e-01 2.554160e-01 
56:	-1.376554e-01 2.569919e-01 
57:	-1.620931e-01 2.630964e-01 
58:	-1.823903e-01 2.640171e-01 
59:	-1.912528e-01 2.662293e-01 
60:	0.000000e+00 3.109200e-01 
61:	-2.973504e-03 2.968164e-01 
62:	-3.291500e-02 3.056161e-01 
63:	-5.918168e-02 3.075602e-01 
64:	-8.338922e-02 3.132954e-01 
65:	-1.141272e-01 3.172188e-01 
66:	-1.389147e-01 3.232722e-01 
67:	-1.684301e-01 3.260916e-01 
68:	-1.858211e-01 3.301517e-01 
69:	-1.954442e-01 3.309438e-01 
70:	0.000000e+00 3.624577e-01 
71:	-1.350153e-02 3.725926e-01 
72:	-2.775557e-02 3.684789e-01 
73:	-5.780265e-02 3.726920e-01 
74:	-8.894414e-02 3.774123e-01 
75:	-1.148953e-01 3.830247e-01 
76:	-1.446929e-01 3.868051e-01 
77:	-1.711757e-01 3.923208e-01 
78:	-1.906748e-01 3.942109e-01 
79:	-1.996292e-01 3.961673e-01 
80:	0.000000e+00 4.153372e-01 
81:	-9.348275e-03 4.108144e-01 
82:	-3.095398e-02 4.137870e-01 
83:	-6.128432e-02 4.169027e-01 
84:	-8.949740e-02 4.212796e-01 
85:	-1.190745e-01 4.258966e-01 
86:	-1.463854e-01 4.308861e-01 
87:	-1.749905e-01 4.348541e-01 
88:	-1.930622e-01 4.381588e-01 
89:	-2.025799e-01 4.392980e-01 
90:	0.000000e+00 4.346070e-01 
91:	-1.011317e-02 4.350405e-01 
92:	-3.170773e-02 4.353838e-01 
93:	-6.182142e-02 4.388494e-01 
94:	-9.169608e-02 4.430068e-01 
95:	-1.200928e-01 4.478151e-01 
96:	-1.483217e-01 4.523278e-01 
97:	-1.760309e-01 4.568037e-01 
98:	-1.947298e-01 4.595813e-01 
99:	-2.039191e-01 4.610734e-01 
100:	3.273782e-03 0.000000e+00 
101:	4.040682e-03 0.000000e+00 
102:	6.531697e-03 0.000000e+00 
103:	1.080931e-02 0.000000e+00 
104:	1.118061e-02 0.000000e+00 
105:	7.948205e-03 0.000000e+00 
106:	6.828578e-03 0.000000e+00 
107:	-3.701863e-02 0.000000e+00 
108:	6.878920e-02 0.000000e+00 
109:	0.000000e+00 0.000000e+00 
110:	-1.039893e-02 1.503789e-02 
111:	-7.286422e-03 1.667589e-02 
112:	-9.618149e-03 4.420507e-03 
113:	-1.730179e-03 1.146744e-02 
114:	-1.767639e-03 1.260902e-02 
115:	-3.684815e-03 1.090724e-02 
116:	-7.425903e-03 2.400601e-02 
117:	-2.072361e-03 -1.688175e-02 
118:	-6.061994e-03 3.971426e-02 
119:	0.000000e+00 0.000000e+00 
120:	4.870464e-04 2.618749e-04 
121:	3.164714e-03 2.735765e-03 
122:	-7.009416e-03 2.788663e-03 
123:	-2.944322e-03 2.241914e-03 
124:	-2.488651e-03 4.809572e-03 
125:	-2.994206e-03 5.293730e-03 
126:	6.754491e-04 1.368863e-03 
127:	-1.106516e-02 -5.952373e-03 
128:	1.295114e-02 1.355803e-02 
129:	0.000000e+00 0.000000e+00 
130:	4.967898e-03 -1.237128e-02 
131:	7.431864e-04 -4.064378e-03 
132:	-1.044255e-02 -3.528794e-03 
133:	-5.203726e-03 -2.717350e-03 
134:	-5.629343e-03 -9.171173e-04 
135:	-2.788286e-03 -2.266286e-03 
136:	-5.132058e-03 4.125973e-03 
137:	8.516653e-03 -1.964313e-02 
138:	-1.315847e-02 2.609797e-02 
139:	0.000000e+00 0.000000e+00 
140:	4.431277e-03 -2.896585e-02 
141:	2.762418e-04 -2.146995e-02 
142:	-1.177472e-02 -1.677286e-02 
143:	-6.480303e-03 -1.552280e-02 
144:	-5.095096e-03 -1.304009e-02 
145:	-3.725791e-03 -1.090638e-02 
146:	-4.970188e-04 -1.065146e-02 
147:	1.567535e-04 -9.874401e-03 
