xi	eta	x	y	stress_rr	stress_sita
 5.7144000000e-02	 5.7144000000e-02	 1.0535790063e+00	 8.6738801103e-02	 2.0612440844e+01	 1.0769347171e+00
 5.7144000000e-02	 7.1430000000e-02	 1.0515316984e+00	 1.0878150527e-01	 2.0508545629e+01	 1.0684048204e+00
 5.7144000000e-02	 8.5716000000e-02	 1.0490027443e+00	 1.3094112249e-01	 2.0380374393e+01	 1.0574436582e+00
 5.7144000000e-02	 1.0000200000e-01	 1.0459832989e+00	 1.5320346595e-01	 2.0228611187e+01	 1.0445208212e+00
 5.7144000000e-02	 1.1428800000e-01	 1.0424650045e+00	 1.7555377324e-01	 2.0054119236e+01	 1.0303040652e+00
 5.7144000000e-02	 1.2857400000e-01	 1.0384400298e+00	 1.9797672306e-01	 1.9857937531e+01	 1.0156682468e+00
 5.7144000000e-02	 1.4286000000e-01	 1.0339011090e+00	 2.2045645495e-01	 1.9641276566e+01	 1.0017028037e+00
 7.1430000000e-02	 0.0000000000e+00	 1.0714295784e+00	 0.0000000000e+00	 2.0233255725e+01	 1.3076099943e+00
 7.1430000000e-02	 1.4286000000e-02	 1.0712090928e+00	 2.1734932609e-02	 2.0230371172e+01	 1.3097544506e+00
 7.1430000000e-02	 2.8572000000e-02	 1.0705404544e+00	 4.3639797058e-02	 2.0203070254e+01	 1.3088179999e+00
 7.1430000000e-02	 4.2858000000e-02	 1.0694131199e+00	 6.5702662231e-02	 2.0151395986e+01	 1.3046296026e+00
 7.1430000000e-02	 5.7144000000e-02	 1.0678168817e+00	 8.7910973507e-02	 2.0075567256e+01	 1.2971621729e+00
 7.1430000000e-02	 7.1430000000e-02	 1.0657419068e+00	 1.1025155877e-01	 1.9975978613e+01	 1.2865440962e+00
 7.1430000000e-02	 8.5716000000e-02	 1.0631787768e+00	 1.3271063703e-01	 1.9853199217e+01	 1.2730700900e+00
