label=Displacement
num_items=200

0:	0.000000e+00 0.000000e+00 
1:	-1.355665e-02 0.000000e+00 
2:	4.054499e-02 0.000000e+00 
3:	2.858863e-02 0.000000e+00 
4:	-1.105030e-01 0.000000e+00 
5:	-5.546273e-02 0.000000e+00 
6:	-1.440707e-01 0.000000e+00 
7:	-1.327753e-01 0.000000e+00 
8:	-1.757058e-01 0.000000e+00 
9:	-1.779377e-01 0.000000e+00 
10:	0.000000e+00 6.239935e-03 
11:	-1.748301e-01 1.936395e-02 
12:	1.487242e-01 -3.199809e-01 
13:	-7.276026e-02 2.269726e-01 
14:	-3.445072e-02 -7.715332e-02 
15:	-1.052092e-01 6.688398e-02 
16:	-1.120928e-01 1.762608e-03 
17:	-1.562843e-01 3.205592e-02 
18:	-1.651234e-01 2.034476e-02 
19:	-1.789247e-01 2.163031e-02 
20:	0.000000e+00 5.861895e-02 
21:	1.448204e-01 -2.889783e-02 
22:	-1.444910e-01 1.416089e-01 
23:	-3.538069e-02 4.921158e-03 
24:	-5.494850e-02 9.723318e-02 
25:	-1.031588e-01 4.945722e-02 
26:	-1.158060e-01 7.321327e-02 
27:	-1.539331e-01 6.168898e-02 
28:	-1.685168e-01 6.813608e-02 
29:	-1.783977e-01 6.853939e-02 
30:	0.000000e+00 6.277985e-02 
31:	-7.832758e-02 1.357979e-01 
32:	1.702926e-02 3.772949e-02 
33:	-5.441712e-02 1.445358e-01 
34:	-8.214892e-02 1.105688e-01 
35:	-9.322903e-02 1.362210e-01 
36:	-1.307309e-01 1.253478e-01 
37:	-1.514055e-01 1.348950e-01 
38:	-1.739602e-01 1.323729e-01 
39:	-1.828684e-01 1.347887e-01 
40:	0.000000e+00 1.888536e-01 
41:	2.436019e-02 1.447608e-01 
42:	-5.055790e-02 1.885562e-01 
43:	-6.048174e-02 1.687717e-01 
44:	-7.447621e-02 1.903746e-01 
45:	-1.102820e-01 1.872406e-01 
46:	-1.283519e-01 1.960872e-01 
47:	-1.610080e-01 1.950892e-01 
48:	-1.766656e-01 2.002669e-01 
49:	-1.866703e-01 2.008055e-01 
50:	0.000000e+00 2.185529e-01 
51:	-2.590922e-02 2.447346e-01 
52:	-1.964722e-02 2.282418e-01 
53:	-5.396165e-02 2.429534e-01 
54:	-8.719436e-02 2.459334e-01 
55:	-1.065853e-01 2.548710e-01 
56:	-1.382146e-01 2.563586e-01 
57:	-1.621679e-01 2.630136e-01 
58:	-1.827259e-01 2.637935e-01 
59:	-1.915025e-01 2.661779e-01 
60:	0.000000e+00 3.102367e-01 
61:	-2.153992e-03 2.943533e-01 
62:	-3.354826e-02 3.039439e-01 
63:	-5.981374e-02 3.061317e-01 
64:	-8.354171e-02 3.121976e-01 
65:	-1.147743e-01 3.163276e-01 
66:	-1.391970e-01 3.228594e-01 
67:	-1.689686e-01 3.257138e-01 
68:	-1.861916e-01 3.300682e-01 
69:	-1.958700e-01 3.308340e-01 
70:	0.000000e+00 3.599380e-01 
71:	-1.398057e-02 3.712368e-01 
72:	-2.777098e-02 3.668107e-01 
73:	-5.799783e-02 3.711534e-01 
74:	-8.959403e-02 3.762740e-01 
75:	-1.153305e-01 3.822652e-01 
76:	-1.453830e-01 3.862140e-01 
77:	-1.717032e-01 3.921002e-01 
78:	-1.913144e-01 3.940087e-01 
79:	-2.002260e-01 3.960973e-01 
80:	0.000000e+00 4.139687e-01 
81:	-9.386214e-03 4.090180e-01 
82:	-3.122596e-02 4.121365e-01 
83:	-6.183071e-02 4.155681e-01 
