label=Displacement
num_items=200

0:	0.000000e+00 0.000000e+00 
152:	-6.260509e-04 9.326507e-03 
153:	-6.485299e-05 7.341692e-03 
154:	2.131710e-04 5.607578e-03 
155:	2.935225e-04 3.935134e-03 
156:	2.467916e-04 2.401430e-03 
157:	1.514234e-04 1.202579e-03 
158:	4.539017e-05 3.204574e-04 
159:	0.000000e+00 0.000000e+00 
160:	-1.864800e-03 1.438913e-02 
161:	-1.054516e-03 1.320558e-02 
162:	-1.657517e-04 1.090414e-02 
163:	2.665753e-04 8.685102e-03 
164:	4.294469e-04 6.383513e-03 
165:	4.144593e-04 4.367754e-03 
166:	3.381124e-04 2.775897e-03 
167:	2.286291e-04 1.462321e-03 
168:	8.770381e-05 4.035221e-04 
169:	0.000000e+00 0.000000e+00 
170:	-1.185699e-03 1.530904e-02 
171:	-6.168151e-04 1.431275e-02 
172:	-1.700313e-05 1.203097e-02 
173:	2.478166e-04 9.477965e-03 
174:	3.208841e-04 7.051224e-03 
175:	3.264493e-04 5.008081e-03 
176:	2.770488e-04 3.202447e-03 
177:	1.784067e-04 1.701274e-03 
178:	5.850379e-05 4.819664e-04 
179:	0.000000e+00 0.000000e+00 
180:	-4.161824e-04 1.589200e-02 
181:	-2.135356e-04 1.501454e-02 
182:	-1.903545e-05 1.273510e-02 
183:	6.803132e-05 1.007373e-02 
184:	9.217149e-05 7.667343e-03 
185:	8.778898e-05 5.477649e-03 
186:	6.071549e-05 3.575744e-03 
187:	4.434555e-05 1.924347e-03 
188:	2.659083e-05 5.438752e-04 
189:	0.000000e+00 0.000000e+00 
190:	0.000000e+00 1.608872e-02 
191:	0.000000e+00 1.522551e-02 
192:	0.000000e+00 1.295833e-02 
193:	0.000000e+00 1.032509e-02 
194:	0.000000e+00 7.901414e-03 
195:	0.000000e+00 5.735939e-03 
196:	0.000000e+00 3.806582e-03 
197:	0.000000e+00 2.119925e-03 
198:	0.000000e+00 6.445625e-04 
199:	0.000000e+00 0.000000e+00 
