label=Displacement
num_items=648

0:	0.000000e+000 0.000000e+000 
1:	5.722907e-005 0.000000e+000 
2:	-6.988342e-005 0.000000e+000 
3:	3.337738e-004 0.000000e+000 
4:	3.161002e-004 0.000000e+000 
5:	-1.876595e-003 0.000000e+000 
6:	-2.544648e-002 0.000000e+000 
7:	-2.412042e-002 0.000000e+000 
8:	-2.184064e-002 0.000000e+000 
9:	-2.410802e-002 0.000000e+000 
10:	-2.641641e-002 0.000000e+000 
11:	-2.876181e-002 0.000000e+000 
12:	-3.112943e-002 0.000000e+000 
13:	-3.351188e-002 0.000000e+000 
14:	-3.590135e-002 0.000000e+000 
15:	-3.828996e-002 0.000000e+000 
16:	-4.066790e-002 0.000000e+000 
17:	-4.184413e-002 0.000000e+000 
18:	0.000000e+000 -6.921094e-005 
19:	-6.951225e-005 2.918210e-005 
20:	1.487381e-004 3.557783e-005 
21:	-2.595467e-005 -3.788936e-004 
22:	-2.355383e-003 -1.250794e-003 
23:	-9.042844e-003 -2.568988e-003 
24:	-1.446163e-002 -1.272106e-003 
25:	-2.110640e-002 2.720271e-003 
26:	-2.186331e-002 2.883941e-003 
27:	-2.410083e-002 2.876174e-003 
28:	-2.641858e-002 2.866205e-003 
29:	-2.876088e-002 2.856984e-003 
30:	-3.112957e-002 2.845020e-003 
31:	-3.351174e-002 2.831177e-003 
32:	-3.590129e-002 2.813970e-003 
33:	-3.828989e-002 2.792042e-003 
34:	-4.066781e-002 2.762752e-003 
35:	-4.184416e-002 2.742323e-003 
36:	0.000000e+000 1.133710e-004 
37:	8.801297e-005 -2.211124e-005 
38:	-2.834139e-004 -2.290760e-004 
39:	-8.743340e-004 1.753566e-003 
40:	-4.522624e-003 8.545828e-004 
41:	-9.273724e-003 4.988266e-004 
42:	-1.440218e-002 4.347271e-003 
43:	-1.829666e-002 8.166741e-003 
44:	-2.155966e-002 8.691541e-003 
45:	-2.389352e-002 8.647793e-003 
46:	-2.625152e-002 8.614517e-003 
47:	-2.862797e-002 8.579797e-003 
48:	-3.101522e-002 8.541709e-003 
49:	-3.341049e-002 8.497976e-003 
50:	-3.580798e-002 8.445597e-003 
51:	-3.820176e-002 8.379667e-003 
52:	-4.058361e-002 8.292916e-003 
53:	-4.176230e-002 8.233002e-003 
54:	0.000000e+000 -6.511464e-004 
55:	-4.264250e-004 -1.466498e-003 
56:	4.595013e-003 8.525526e-003 
57:	4.577112e-003 1.077049e-002 
58:	-9.890999e-004 8.417931e-003 
59:	-7.736347e-003 8.483207e-003 
60:	-1.400963e-002 1.176713e-002 
61:	-1.836547e-002 1.433602e-002 
62:	-2.108423e-002 1.462210e-002 
63:	-2.350895e-002 1.446715e-002 
64:	-2.595298e-002 1.440270e-002 
65:	-2.837837e-002 1.432701e-002 
66:	-3.079989e-002 1.425556e-002 
67:	-3.321716e-002 1.417737e-002 
68:	-3.562887e-002 1.408729e-002 
69:	-3.803193e-002 1.397747e-002 
70:	-4.042097e-002 1.383621e-002 
71:	-4.160417e-002 1.374072e-002 
72:	0.000000e+000 1.652217e-003 
