label=Displacement
num_items=180

153:	1.841624e-04 6.961536e-03 
154:	1.693964e-04 5.444881e-03 
155:	1.623469e-04 4.108485e-03 
156:	1.588617e-04 2.949582e-03 
157:	1.539946e-04 1.982947e-03 
158:	1.439523e-04 1.209036e-03 
159:	1.212985e-04 6.717051e-04 
160:	7.072294e-05 2.051272e-04 
161:	0.000000e+00 0.000000e+00 
162:	0.000000e+00 2.241031e-02 
163:	0.000000e+00 2.192098e-02 
164:	0.000000e+00 2.063821e-02 
165:	0.000000e+00 1.908278e-02 
166:	0.000000e+00 1.727083e-02 
167:	0.000000e+00 1.523899e-02 
168:	0.000000e+00 1.328622e-02 
169:	0.000000e+00 1.145732e-02 
170:	0.000000e+00 9.759239e-03 
171:	0.000000e+00 8.173025e-03 
172:	0.000000e+00 6.704483e-03 
173:	0.000000e+00 5.356696e-03 
174:	0.000000e+00 4.130824e-03 
175:	0.000000e+00 3.021928e-03 
176:	0.000000e+00 2.030868e-03 
177:	0.000000e+00 1.144366e-03 
178:	0.000000e+00 3.456149e-04 
179:	0.000000e+00 0.000000e+00 
