-4.887167e-02 
-1.463787e-01 
-1.951310e-01 
1.149107e-01 
-4.879520e-02 
1.136647e-01 
-1.463706e-01 
1.138385e-01 
-1.951060e-01 
1.137071e-01 
3.411858e-01 
-4.855277e-02 
3.416242e-01 
-1.462505e-01 
3.412463e-01 
-1.949528e-01 
3.412172e-01 
4.552056e-01 
-4.875859e-02 
4.551896e-01 
-1.460681e-01 
4.550827e-01 
-1.948695e-01 
4.549404e-01 
-1.066035e-03 
-1.690634e-03 
-3.759913e-04 
-9.948622e-04 
3.589597e-03 
-7.171832e-04 
-5.797854e-05 
-4.620032e-05 
-6.651379e-04 
-1.076389e-03 
7.072752e-03 
1.587008e-03 
4.416960e-03 
1.075590e-03 
1.048485e-03 
7.139565e-03 
5.386264e-03 
1.373933e-03 



Displacement
0	0.0000000000000e+00	 0.0000000000000e+00	 
1	-4.8871669809940e-02	 0.0000000000000e+00	 
2	-1.4637874901808e-01	 0.0000000000000e+00	 
3	-1.9513098837008e-01	 0.0000000000000e+00	 
4	0.0000000000000e+00	 1.1491065874657e-01	 
5	-4.8795196692001e-02	 1.1366466769815e-01	 
6	-1.4637061770533e-01	 1.1383851564581e-01	 
7	-1.9510598347763e-01	 1.1370711851833e-01	 
1	7	-3.9013571984155e-03	9.1003884951330e-03	7.9659284098278e-07	0.0000000000000e+00	
1	8	-3.8986065716518e-03	9.0995644064921e-03	-1.1464123194870e-06	0.0000000000000e+00	
2	0	-3.8936115891605e-03	9.0706947820191e-03	-1.5633534106147e-05	0.0000000000000e+00	
2	1	-3.8989258250116e-03	9.0985819386249e-03	-7.4051948575416e-06	0.0000000000000e+00	
2	2	-3.9042400608627e-03	9.1071919428051e-03	-1.3276163614805e-06	0.0000000000000e+00	
2	3	-3.8921883092599e-03	9.0895922959488e-03	6.3895525521066e-06	0.0000000000000e+00	
2	4	-3.8970891309222e-03	9.0979047950330e-03	-1.1546113373932e-06	0.0000000000000e+00	
2	5	-3.9019899525845e-03	9.1015340787511e-03	-5.7211860966726e-06	0.0000000000000e+00	
2	6	-3.8971215235429e-03	9.1084898098784e-03	1.5410131592100e-06	0.0000000000000e+00	
2	7	-3.8964805811336e-03	9.0972276514412e-03	-7.1817168090758e-06	0.0000000000000e+00	
2	8	-3.8958396387243e-03	9.0958762146971e-03	-7.7985077643702e-06	0.0000000000000e+00	
3	0	-3.9048331382934e-03	9.1042867838272e-03	2.1369601153074e-08	0.0000000000000e+00	
3	1	-3.9015570080943e-03	9.1003011640491e-03	1.0349056195661e-07	0.0000000000000e+00	
3	2	-3.8982808778953e-03	9.0996689136935e-03	3.9569814742004e-07	0.0000000000000e+00	
3	3	-3.9028617203501e-03	9.1016583112022e-03	-4.6873367848691e-06	0.0000000000000e+00	
3	4	-3.9009567213551e-03	9.1010164771469e-03	-3.9570609929946e-07	0.0000000000000e+00	
3	5	-3.8990517223602e-03	9.0996581773599e-03	9.4357555335443e-07	0.0000000000000e+00	
3	6	-3.8964180266986e-03	9.0990298385773e-03	-4.0173398710578e-06	0.0000000000000e+00	
3	7	-3.8990465945653e-03	9.1017317902447e-03	4.1396538511432e-07	0.0000000000000e+00	
3	8	-3.9016751624321e-03	9.0996474410263e-03	-1.2695140491962e-06	0.0000000000000e+00	











Stress
0	0	2.4399800589800e-02	1.0076096026182e+01	-6.3651647678197e-03	3.0301487480316e+00	
0	1	3.8769579317428e-03	1.0020847309737e+01	-2.0338450201058e-03	3.0074172803005e+00	
0	2	-1.7996605720167e-03	1.0000239782984e+01	1.2333349032081e-03	2.9995320367236e+00	
0	3	6.9574847081535e-03	1.0023275618035e+01	-1.9023851433293e-02	3.0090699308229e+00	
0	4	1.5548391354336e-03	1.0010892018942e+01	-8.6331244380054e-03	3.0037340574231e+00	
0	5	-1.4056756375069e-03	1.0004206725048e+01	5.4634513567038e-04	3.0008403148231e+00	
0	6	-9.1891974582907e-03	9.9710104814795e+00	-1.4813078803352e-02	2.9885463852064e+00	
0	7	1.3442464092073e-05	1.0001271323343e+01	-6.6323401301704e-03	3.0003854297421e+00	
0	8	-7.4588016827004e-04	1.0008287585912e+01	1.9002352418806e-04	3.0022625117231e+00	
1	0	3.1522985844745e-05	1.0002075328867e+01	1.6170668622657e-03	3.0006320555560e+00	
1	1	8.7687351099852e-04	1.0003034425366e+01	6.5697264046524e-04	3.0011733896632e+00	
1	2	-6.6495670610056e-04	9.9984234334668e+00	1.6395202508201e-04	2.9993275430282e+00	
1	3	-1.4590586827694e-03	1.0002959624004e+01	2.3807360647065e-03	3.0004501695964e+00	
1	4	-3.8910313704577e-04	1.0001376011594e+01	5.7938503621350e-04	3.0002960725370e+00	
1	5	4.7834157061111e-04	9.9993198738942e+00	-7.6900341142233e-04	2.9999394646394e+00	
1	6	-2.8480380363760e-03	1.0003887462990e+01	1.4925430943169e-03	3.0003118274861e+00	
1	7	-1.6028660595335e-03	9.9997399751317e+00	3.0638186191646e-04	2.9994411327216e+00	
1	8	1.6244649834150e-03	1.0000217525094e+01	-4.4092781518732e-04	3.0005525970233e+00	
2	0	-8.3070727049570e-03	9.9642362897409e+00	-6.0128977331336e-03	2.9867787651108e+00	
2	1	6.2789246030981e-04	9.9987107875653e+00	-2.8481518682852e-03	2.9998016040077e+00	
2	2	-1.5585764660884e-03	1.0007235272509e+01	-5.1062167749249e-04	3.0017030088129e+00	
2	3	4.5112928898323e-03	9.9904963738196e+00	2.4575202123487e-03	2.9985023000128e+00	
2	4	2.7097055084511e-03	9.9988588793202e+00	-4.4408128361277e-04	3.0004705754486e+00	
