1	10	10
11	11	1	1
 1.0000e+00	 0.0000e+00	-nan	-nan	-nan
 9.9130e-01	 1.6162e-01	-nan	-nan	-nan
 9.6276e-01	 3.2139e-01	-nan	-nan	-nan
 9.1140e-01	 4.7400e-01	-nan	-nan	-nan
 8.3564e-01	 6.1383e-01	-nan	-nan	-nan
 7.3570e-01	 7.3570e-01	-nan	-nan	-nan
 6.1383e-01	 8.3564e-01	-nan	-nan	-nan
 4.7400e-01	 9.1140e-01	-nan	-nan	-nan
 3.2139e-01	 9.6276e-01	-nan	-nan	-nan
 1.6162e-01	 9.9130e-01	-nan	-nan	-nan
 0.0000e+00	 1.0000e+00	-nan	-nan	-nan
 1.1000e+00	 0.0000e+00	-nan	-nan	-nan
 1.0904e+00	 1.7778e-01	-nan	-nan	-nan
 1.0590e+00	 3.5353e-01	-nan	-nan	-nan
 1.0025e+00	 5.2140e-01	-nan	-nan	-nan
 9.1920e-01	 6.7521e-01	-nan	-nan	-nan
 8.0927e-01	 8.0927e-01	-nan	-nan	-nan
 6.7521e-01	 9.1920e-01	-nan	-nan	-nan
 5.2140e-01	 1.0025e+00	-nan	-nan	-nan
 3.5353e-01	 1.0590e+00	-nan	-nan	-nan
 1.7778e-01	 1.0904e+00	-nan	-nan	-nan
 0.0000e+00	 1.1000e+00	-nan	-nan	-nan
 1.2000e+00	 0.0000e+00	-nan	-nan	-nan
 1.1896e+00	 1.9394e-01	-nan	-nan	-nan
 1.1553e+00	 3.8567e-01	-nan	-nan	-nan
 1.0937e+00	 5.6880e-01	-nan	-nan	-nan
 1.0028e+00	 7.3659e-01	-nan	-nan	-nan
 8.8284e-01	 8.8284e-01	-nan	-nan	-nan
 7.3659e-01	 1.0028e+00	-nan	-nan	-nan
 5.6880e-01	 1.0937e+00	-nan	-nan	-nan
 3.8567e-01	 1.1553e+00	-nan	-nan	-nan
 1.9394e-01	 1.1896e+00	-nan	-nan	-nan
 0.0000e+00	 1.2000e+00	-nan	-nan	-nan
 1.3000e+00	 0.0000e+00	-nan	-nan	-nan
 1.2887e+00	 2.1010e-01	-nan	-nan	-nan
 1.2516e+00	 4.1781e-01	-nan	-nan	-nan
 1.1848e+00	 6.1620e-01	-nan	-nan	-nan
 1.0863e+00	 7.9797e-01	-nan	-nan	-nan
 9.5641e-01	 9.5641e-01	-nan	-nan	-nan
 7.9797e-01	 1.0863e+00	-nan	-nan	-nan
 6.1620e-01	 1.1848e+00	-nan	-nan	-nan
 4.1781e-01	 1.2516e+00	-nan	-nan	-nan
 2.1010e-01	 1.2887e+00	-nan	-nan	-nan
 0.0000e+00	 1.3000e+00	-nan	-nan	-nan
 1.4000e+00	 0.0000e+00	-nan	-nan	-nan
 1.3878e+00	 2.2626e-01	-nan	-nan	-nan
 1.3479e+00	 4.4995e-01	-nan	-nan	-nan
 1.2760e+00	 6.6360e-01	-nan	-nan	-nan
 1.1699e+00	 8.5936e-01	-nan	-nan	-nan
 1.0300e+00	 1.0300e+00	-nan	-nan	-nan
 8.5936e-01	 1.1699e+00	-nan	-nan	-nan
 6.6360e-01	 1.2760e+00	-nan	-nan	-nan
 4.4995e-01	 1.3479e+00	-nan	-nan	-nan
 2.2626e-01	 1.3878e+00	-nan	-nan	-nan
 0.0000e+00	 1.4000e+00	-nan	-nan	-nan
 1.5000e+00	 0.0000e+00	-nan	-nan	-nan
 1.4869e+00	 2.4242e-01	-nan	-nan	-nan
 1.4441e+00	 4.8209e-01	-nan	-nan	-nan
 1.3671e+00	 7.1100e-01	-nan	-nan	-nan
 1.2535e+00	 9.2074e-01	-nan	-nan	-nan
 1.1036e+00	 1.1036e+00	-nan	-nan	-nan
 9.2074e-01	 1.2535e+00	-nan	-nan	-nan
 7.1100e-01	 1.3671e+00	-nan	-nan	-nan
 4.8209e-01	 1.4441e+00	-nan	-nan	-nan
 2.4242e-01	 1.4869e+00	-nan	-nan	-nan
 0.0000e+00	 1.5000e+00	-nan	-nan	-nan
 1.6000e+00	 0.0000e+00	-nan	-nan	-nan
 1.5861e+00	 2.5859e-01	-nan	-nan	-nan
 1.5404e+00	 5.1422e-01	-nan	-nan	-nan
 1.4582e+00	 7.5840e-01	-nan	-nan	-nan
 1.3370e+00	 9.8212e-01	-nan	-nan	-nan
 1.1771e+00	 1.1771e+00	-nan	-nan	-nan
 9.8212e-01	 1.3370e+00	-nan	-nan	-nan
 7.5840e-01	 1.4582e+00	-nan	-nan	-nan
 5.1422e-01	 1.5404e+00	-nan	-nan	-nan
 2.5859e-01	 1.5861e+00	-nan	-nan	-nan
 0.0000e+00	 1.6000e+00	-nan	-nan	-nan
 1.7000e+00	 0.0000e+00	-nan	-nan	-nan
 1.6852e+00	 2.7475e-01	-nan	-nan	-nan
 1.6367e+00	 5.4636e-01	-nan	-nan	-nan
 1.5494e+00	 8.0580e-01	-nan	-nan	-nan
 1.4206e+00	 1.0435e+00	-nan	-nan	-nan
 1.2507e+00	 1.2507e+00	-nan	-nan	-nan
 1.0435e+00	 1.4206e+00	-nan	-nan	-nan
 8.0580e-01	 1.5494e+00	-nan	-nan	-nan
 5.4636e-01	 1.6367e+00	-nan	-nan	-nan
 2.7475e-01	 1.6852e+00	-nan	-nan	-nan
 0.0000e+00	 1.7000e+00	-nan	-nan	-nan
 1.8000e+00	 0.0000e+00	-nan	-nan	-nan
 1.7843e+00	 2.9091e-01	-nan	-nan	-nan
 1.7330e+00	 5.7850e-01	-nan	-nan	-nan
 1.6405e+00	 8.5320e-01	-nan	-nan	-nan
 1.5041e+00	 1.1049e+00	-nan	-nan	-nan
 1.3243e+00	 1.3243e+00	-nan	-nan	-nan
 1.1049e+00	 1.5041e+00	-nan	-nan	-nan
 8.5320e-01	 1.6405e+00	-nan	-nan	-nan
 5.7850e-01	 1.7330e+00	-nan	-nan	-nan
 2.9091e-01	 1.7843e+00	-nan	-nan	-nan
 0.0000e+00	 1.8000e+00	-nan	-nan	-nan
 1.9000e+00	 0.0000e+00	-nan	-nan	-nan
 1.8835e+00	 3.0707e-01	-nan	-nan	-nan
 1.8292e+00	 6.1064e-01	-nan	-nan	-nan
 1.7317e+00	 9.0059e-01	-nan	-nan	-nan
 1.5877e+00	 1.1663e+00	-nan	-nan	-nan
 1.3978e+00	 1.3978e+00	-nan	-nan	-nan
 1.1663e+00	 1.5877e+00	-nan	-nan	-nan
 9.0059e-01	 1.7317e+00	-nan	-nan	-nan
 6.1064e-01	 1.8292e+00	-nan	-nan	-nan
 3.0707e-01	 1.8835e+00	-nan	-nan	-nan
 0.0000e+00	 1.9000e+00	-nan	-nan	-nan
 2.0000e+00	 0.0000e+00	-nan	-nan	-nan
 1.9826e+00	 3.2323e-01	-nan	-nan	-nan
 1.9255e+00	 6.4278e-01	-nan	-nan	-nan
 1.8228e+00	 9.4799e-01	-nan	-nan	-nan
 1.6713e+00	 1.2277e+00	-nan	-nan	-nan
 1.4714e+00	 1.4714e+00	-nan	-nan	-nan
 1.2277e+00	 1.6713e+00	-nan	-nan	-nan
 9.4799e-01	 1.8228e+00	-nan	-nan	-nan
 6.4278e-01	 1.9255e+00	-nan	-nan	-nan
 3.2323e-01	 1.9826e+00	-nan	-nan	-nan
 0.0000e+00	 2.0000e+00	-nan	-nan	-nan
-nan	-nan	-nan	-nan	-nan	-nan
-nan	-nan	-nan	-nan	-nan	-nan
-nan	-nan	-nan	-nan	-nan	-nan
-nan	-nan	-nan	-nan	-nan	-nan
-nan	-nan	-nan	-nan	-nan	-nan
-nan	-nan	-nan	-nan	-nan	-nan
-nan	-nan	-nan	-nan	-nan	-nan
-nan	-nan	-nan	-nan	-nan	-nan
-nan	-nan	-nan	-nan	-nan	-nan
-nan	-nan	-nan	-nan	-nan	-nan
-nan	-nan	-nan	-nan	-nan	-nan
-nan	-nan	-nan	-nan	-nan	-nan
-nan	-nan	-nan	-nan	-nan	-nan
-nan	-nan	-nan	-nan	-nan	-nan
-nan	-nan	-nan	-nan	-nan	-nan
-nan	-nan	-nan	-nan	-nan	-nan
-nan	-nan	-nan	-nan	-nan	-nan
-nan	-nan	-nan	-nan	-nan	-nan
-nan	-nan	-nan	-nan	-nan	-nan
-nan	-nan	-nan	-nan	-nan	-nan
-nan	-nan	-nan	-nan	-nan	-nan
-nan	-nan	-nan	-nan	-nan	-nan
-nan	-nan	-nan	-nan	-nan	-nan
