0:  0.000000e+00  0.000000e+00	 0.000000e+00 0.000000e+00 
1:  4.761905e-01  0.000000e+00	 -1.857143e-03 0.000000e+00 
2:  1.428571e+00  0.000000e+00	 -5.571429e-03 0.000000e+00 
3:  2.857143e+00  0.000000e+00	 -1.114286e-02 0.000000e+00 
4:  4.285714e+00  0.000000e+00	 -1.671429e-02 0.000000e+00 
5:  5.714286e+00  0.000000e+00	 -2.228571e-02 0.000000e+00 
6:  7.142857e+00  0.000000e+00	 -2.785714e-02 0.000000e+00 
7:  8.571429e+00  0.000000e+00	 -3.342857e-02 0.000000e+00 
8:  9.523810e+00  0.000000e+00	 -3.714286e-02 0.000000e+00 
9:  1.000000e+01  0.000000e+00	 -3.900000e-02 0.000000e+00 
10:  0.000000e+00  4.761905e-01	 0.000000e+00 4.333333e-03 
11:  4.761905e-01  4.761905e-01	 -1.857143e-03 4.333333e-03 
12:  1.428571e+00  4.761905e-01	 -5.571429e-03 4.333333e-03 
13:  2.857143e+00  4.761905e-01	 -1.114286e-02 4.333333e-03 
14:  4.285714e+00  4.761905e-01	 -1.671429e-02 4.333333e-03 
15:  5.714286e+00  4.761905e-01	 -2.228571e-02 4.333333e-03 
16:  7.142857e+00  4.761905e-01	 -2.785714e-02 4.333333e-03 
17:  8.571429e+00  4.761905e-01	 -3.342857e-02 4.333333e-03 
18:  9.523810e+00  4.761905e-01	 -3.714286e-02 4.333333e-03 
19:  1.000000e+01  4.761905e-01	 -3.900000e-02 4.333333e-03 
20:  0.000000e+00  1.428571e+00	 0.000000e+00 1.300000e-02 
21:  4.761905e-01  1.428571e+00	 -1.857143e-03 1.300000e-02 
22:  1.428571e+00  1.428571e+00	 -5.571429e-03 1.300000e-02 
23:  2.857143e+00  1.428571e+00	 -1.114286e-02 1.300000e-02 
24:  4.285714e+00  1.428571e+00	 -1.671429e-02 1.300000e-02 
25:  5.714286e+00  1.428571e+00	 -2.228571e-02 1.300000e-02 
26:  7.142857e+00  1.428571e+00	 -2.785714e-02 1.300000e-02 
27:  8.571429e+00  1.428571e+00	 -3.342857e-02 1.300000e-02 
28:  9.523810e+00  1.428571e+00	 -3.714286e-02 1.300000e-02 
29:  1.000000e+01  1.428571e+00	 -3.900000e-02 1.300000e-02 
30:  0.000000e+00  2.857143e+00	 0.000000e+00 2.600000e-02 
31:  4.761905e-01  2.857143e+00	 -1.857143e-03 2.600000e-02 
32:  1.428571e+00  2.857143e+00	 -5.571429e-03 2.600000e-02 
33:  2.857143e+00  2.857143e+00	 -1.114286e-02 2.600000e-02 
34:  4.285714e+00  2.857143e+00	 -1.671429e-02 2.600000e-02 
35:  5.714286e+00  2.857143e+00	 -2.228571e-02 2.600000e-02 
36:  7.142857e+00  2.857143e+00	 -2.785714e-02 2.600000e-02 
37:  8.571429e+00  2.857143e+00	 -3.342857e-02 2.600000e-02 
38:  9.523810e+00  2.857143e+00	 -3.714286e-02 2.600000e-02 
39:  1.000000e+01  2.857143e+00	 -3.900000e-02 2.600000e-02 
40:  0.000000e+00  4.285714e+00	 0.000000e+00 3.900000e-02 
41:  4.761905e-01  4.285714e+00	 -1.857143e-03 3.900000e-02 
42:  1.428571e+00  4.285714e+00	 -5.571429e-03 3.900000e-02 
43:  2.857143e+00  4.285714e+00	 -1.114286e-02 3.900000e-02 
44:  4.285714e+00  4.285714e+00	 -1.671429e-02 3.900000e-02 
45:  5.714286e+00  4.285714e+00	 -2.228571e-02 3.900000e-02 
46:  7.142857e+00  4.285714e+00	 -2.785714e-02 3.900000e-02 
47:  8.571429e+00  4.285714e+00	 -3.342857e-02 3.900000e-02 
48:  9.523810e+00  4.285714e+00	 -3.714286e-02 3.900000e-02 
49:  1.000000e+01  4.285714e+00	 -3.900000e-02 3.900000e-02 
50:  0.000000e+00  5.714286e+00	 0.000000e+00 5.200000e-02 
51:  4.761905e-01  5.714286e+00	 -1.857143e-03 5.200000e-02 
52:  1.428571e+00  5.714286e+00	 -5.571429e-03 5.200000e-02 
53:  2.857143e+00  5.714286e+00	 -1.114286e-02 5.200000e-02 
