0:  0.000000e+00  0.000000e+00	 0.000000e+00 0.000000e+00 
1:  2.500000e+00  0.000000e+00	 1.104369e-05 0.000000e+00 
2:  7.500000e+00  0.000000e+00	 3.313107e-05 0.000000e+00 
3:  1.000000e+01  0.000000e+00	 4.417476e-05 0.000000e+00 
4:  0.000000e+00  2.500000e+00	 0.000000e+00 -4.733010e-06 
5:  2.500000e+00  2.500000e+00	 1.104369e-05 -4.733010e-06 
6:  7.500000e+00  2.500000e+00	 3.313107e-05 -4.733010e-06 
7:  1.000000e+01  2.500000e+00	 4.417476e-05 -4.733010e-06 
8:  0.000000e+00  5.000000e+00	 0.000000e+00 -9.466019e-06 
9:  2.500000e+00  5.000000e+00	 1.104369e-05 -9.466019e-06 
10:  7.500000e+00  5.000000e+00	 3.313107e-05 -9.466019e-06 
11:  1.000000e+01  5.000000e+00	 4.417476e-05 -9.466019e-06 
12:  0.000000e+00  7.500000e+00	 0.000000e+00 -1.419903e-05 
13:  2.500000e+00  7.500000e+00	 1.104369e-05 -1.419903e-05 
14:  7.500000e+00  7.500000e+00	 3.313107e-05 -1.419903e-05 
15:  1.000000e+01  7.500000e+00	 4.417476e-05 -1.419903e-05 
16:  0.000000e+00  1.000000e+01	 0.000000e+00 -1.893204e-05 
17:  2.500000e+00  1.000000e+01	 1.104369e-05 -1.893204e-05 
18:  7.500000e+00  1.000000e+01	 3.313107e-05 -1.893204e-05 
19:  1.000000e+01  1.000000e+01	 4.417476e-05 -1.893204e-05 
